VP ID,base Workload,Optimized Workload,Workload Change,Capacity,base Excess,Optimized Excess,Excess Change,base Facility Count,Optimized Facility Count,Facility Count Change,New Opportunities Assigned,Optimized New Opportunities,Avg Assignment Cost,Scenario,Capacity Status,Capacity Utilization,Leader
VP0001,0.0008804112218050053,1.0029723898179423,1.0020919785961373,0.9950697450000197,0.0,0.007902644817922688,0.007902644817922688,1,3,2,0,0,0.3341773947356799,Balanced Growth,Over Capacity,1.0079417999166707,VP0001
VP0002,2.4376878039476186,2.4377716193006367,8.381535301804632e-05,0.9950697450000197,1.442618058947599,1.442701874300617,8.381535301804632e-05,14,14,0,0,0,0.05617521291348459,Balanced Growth,Over Capacity,2.449850004534696,VP0002
VP0003,0.0,0.8416473514284597,0.8416473514284597,0.9950697450000197,0.0,0.0,0.0,1,2,1,0,0,0.42082367571422985,Balanced Growth,Within Capacity,0.8458174471262244,VP0003
VP0004,6.329371802701772,6.942221435008846,0.612849632307074,0.9950697450000197,5.334302057701752,5.947151690008826,0.612849632307074,18,17,-1,0,0,0.19436456823789583,Balanced Growth,Over Capacity,6.976617940492914,VP0004
VP0005,1.238782976657242,1.406158451251129,0.1673754745938869,0.9950697450000197,0.24371323165722236,0.41108870625110927,0.1673754745938869,18,19,1,1,1,0.03578592347562748,Balanced Growth,Over Capacity,1.4131255204137487,VP0005
VP0006,3.1933412185670216,2.662092277371805,-0.5312489411952166,0.9950697450000197,2.1982714735670017,1.6670225323717853,-0.5312489411952164,7,5,-2,1,1,0.13769432076745863,Balanced Growth,Over Capacity,2.675282100323282,VP0006
VP0007,1.7052156750867047,1.6162095645681245,-0.0890061105185802,0.9950697450000197,0.710145930086685,0.6211398195681048,-0.0890061105185802,13,12,-1,0,0,0.04101829639578961,Balanced Growth,Over Capacity,1.6242173703794929,VP0007
VP0008,2.8649078815519027,2.764249198502327,-0.1006586830495757,0.9950697450000197,1.869838136551883,1.7691794535023073,-0.1006586830495757,8,7,-1,0,0,0.16845279393885162,Balanced Growth,Over Capacity,2.777945176598925,VP0008
VP0009,0.3789786878573326,0.8085198533245789,0.4295411654672463,0.9950697450000197,0.0,0.0,0.0,6,8,2,1,1,0.07047217764170187,Balanced Growth,Within Capacity,0.812525812775629,VP0009
VP0010,1.348593783277518,1.2233502312909164,-0.12524355198660175,0.9950697450000197,0.35352403827749845,0.2282804862908967,-0.12524355198660175,7,6,-1,0,0,0.054140935127582245,Balanced Growth,Over Capacity,1.2294115437012831,VP0010
VP0011,1.4838844197463614,1.6119852763182292,0.12810085657186776,0.9950697450000197,0.48881467474634177,0.6169155313182095,0.12810085657186776,8,8,0,0,0,0.08720838818665759,Balanced Growth,Over Capacity,1.6199721521210528,VP0011
VP0012,1.2866618251074533,1.3548697801226761,0.06820795501522281,0.9950697450000197,0.29159208010743365,0.35980003512265646,0.06820795501522281,7,7,0,0,0,0.07594980801277511,Balanced Growth,Over Capacity,1.3615827301860628,VP0012
VP0014,2.557368659257499,2.543394170341489,-0.013974488916010053,0.9950697450000197,1.5622989142574795,1.5483244253414694,-0.013974488916010053,13,12,-1,0,0,0.09522865122073494,Balanced Growth,Over Capacity,2.55599588181775,VP0014
VP0017,0.6480857614970584,0.7395215827268322,0.09143582122977378,0.9950697450000197,0.0,0.0,0.0,8,9,1,1,1,0.03666796538593086,Balanced Growth,Within Capacity,0.7431856776298807,VP0017
VP0018,1.0680587263434507,1.1349552814761135,0.0668965551326628,0.9950697450000197,0.07298898134343101,0.1398855364760938,0.0668965551326628,17,17,0,0,0,0.026993709707516026,Balanced Growth,Over Capacity,1.1405786249446173,VP0018
VP0019,1.3092822545280005,1.336046559357301,0.026764304829300478,0.9950697450000197,0.31421250952798085,0.34097681435728133,0.026764304829300478,13,13,0,0,0,0.03600670074907318,Balanced Growth,Over Capacity,1.3426662463315822,VP0019
VP0020,0.14584819792813944,0.9271849605881517,0.7813367626600123,0.9950697450000197,0.0,0.0,0.0,2,4,2,1,1,0.21356521540602047,Balanced Growth,Near Capacity,0.9317788680110392,VP0020
VP0021,0.958788643400001,1.1287328537471726,0.16994421034717155,0.9950697450000197,0.0,0.13366310874715293,0.13366310874715293,5,5,0,0,0,0.11996634388923692,Balanced Growth,Over Capacity,1.1343253670597233,VP0021
VP0022,1.3622575650177566,1.532301336241476,0.17004377122371928,0.9950697450000197,0.367187820017737,0.5372315912414563,0.17004377122371928,7,7,0,0,0,0.104306626380825,Balanced Growth,Over Capacity,1.539893403392991,VP0022
VP0023,0.8858040849188462,0.9415308209143367,0.055726735995490495,0.9950697450000197,0.0,0.0,0.0,10,11,1,1,1,0.034301130976029263,Balanced Growth,Near Capacity,0.946195807525349,VP0023
VP0024,0.6854610261725734,0.8217804798974864,0.13631945372491294,0.9950697450000197,0.0,0.0,0.0,12,13,1,1,1,0.03064107421807857,Balanced Growth,Within Capacity,0.8258521415475959,VP0024
VP0025,0.8141397065611643,0.922669579257837,0.10852987269667269,0.9950697450000197,0.0,0.0,0.0,13,18,5,5,5,0.023179830953529153,Balanced Growth,Near Capacity,0.9272411143982865,VP0025
VP0026,1.0416331387389912,1.6183340683679,0.5767009296289087,0.9950697450000197,0.04656339373897156,0.6232643233678803,0.5767009296289087,6,8,2,2,2,0.1252808759908329,Balanced Growth,Over Capacity,1.6263524004218095,VP0026
VP0028,1.0874682610272417,1.1561849112140996,0.06871665018685791,0.9950697450000197,0.09239851602722204,0.16111516621407995,0.06871665018685791,19,19,0,0,0,0.024645567133328036,Balanced Growth,Over Capacity,1.1619134407649756,VP0028
VP0030,0.4827268120338222,1.464670163852992,0.9819433518191698,0.9950697450000197,0.0,0.4696004188529723,0.4696004188529723,3,4,1,0,0,0.30554597122370425,Balanced Growth,Over Capacity,1.4719271399945568,VP0030
VP0031,1.0597354967417096,1.1191494765657337,0.05941397982402408,0.9950697450000197,0.06466575174168998,0.12407973156571406,0.05941397982402408,17,17,0,0,0,0.026083235105099425,Balanced Growth,Over Capacity,1.1246945072837198,VP0031
