Facility ID,Assigned VP,Current VP,Record Type,Service Line,Latitude,Longitude,Facility Complexity Score,Assignment Cost,Is Reassignment
17,VP0050,VP0050,current,EVS,27.81,-82.73,6.043751003,0.022756963740398636,False
40,VP0028,VP0028,current,EVS,30.09,-94.13,23.95192253,0.05003606456112981,False
67,VP0059,VP0059,current,EVS,30.4,-91.1,17.63718308,0.053065953802387746,False
85,VP0041,VP0041,current,EVS,30.18,-82.69,6.013387863,0.020983312842624648,False
117,VP0028,VP0028,current,EVS,30.91,-94.01,3.045059259,0.015920353091311967,False
134,VP0028,VP0028,current,EVS,29.91,-93.92,4.039159977,0.02271612819747419,False
135,VP0034,VP0034,current,EVS,27.78,-97.4,28.46436022,0.042801019565986816,False
145,VP0049,VP0049,current,EVS,32.55,-94.74,17.28475185,0.027912672165050126,False
149,VP0009,VP0009,current,EVS,31.34,-94.76,7.081764681,0.0390717948280451,False
150,VP0034,VP0034,current,EVS,27.69,-97.38,2.047176632,0.005702725721817448,False
153,VP0043,VP0043,current,EVS,30.09,-95.62,12.94947841,0.022024454061659177,False
158,VP0043,VP0043,current,EVS,30.28,-95.47,14.00787701,0.024439171889902828,False
161,VP0057,VP0057,current,EVS,28.93,-98.53,4.593616137,0.03462171863431868,False
162,VP0043,VP0043,current,EVS,30.05,-95.26,6.815992792,0.012213717951504322,False
166,VP0034,VP0034,current,EVS,27.68,-97.38,6.946812868,0.012413283774413012,False
167,VP0034,VP0034,current,EVS,27.77,-98.04,4.260006499,0.01079011921011152,False
168,VP0034,VP0034,current,EVS,28.42,-97.73,2.452887153,0.012388279588295916,False
169,VP0034,VP0034,current,EVS,27.49,-97.85,3.88936182,0.00797305072094211,False
170,VP0034,VP0034,current,EVS,27.78,-97.4,6.383244802,0.012263867580327709,False
171,VP0009,VP0009,current,EVS,32.43,-97.8,4.226393751,0.023254719940321387,False
175,VP0057,VP0057,current,EVS,29.51,-98.48,1.751014788,0.028446384675080285,False
176,VP0057,VP0057,current,EVS,29.43,-98.5,6.9581455,0.03600325522084335,False
178,VP0057,VP0057,current,EVS,29.71,-98.12,7.208021487,0.03275451144250381,False
179,VP0057,VP0057,current,EVS,29.47,-98.7,8.46506884,0.039531052721925586,False
181,VP0020,VP0020,current,EVS,32.73,-97.33,38.89724162,0.05423327524019168,False
193,VP0057,VP0057,current,EVS,29.69,-98.12,7.516517359,0.033221066191512987,False
198,VP0043,VP0043,current,EVS,29.58,-95.39,3.323845422,0.007158235901830916,False
201,VP0050,VP0050,current,EVS,27.83,-82.7,11.23017703,0.029719872017856305,False
223,VP0059,VP0059,current,EVS,32.37,-88.7,5.254114687,0.012885696236645016,False
229,VP0062,VP0062,current,EVS,33.46,-90.65,2.093470455,0.039666168597707704,False
230,VP0061,VP0061,current,EVS,27.3,-82.45,6.774816132,0.01875533948834921,False
235,VP0023,VP0023,current,EVS,36.41,-89.04,3.886898951,0.016582249547778455,False
249,VP0009,VP0009,current,EVS,36.39,-97.87,4.133316404,0.029756806599214043,False
257,VP0007,VP0007,current,EVS,36.74,-90.43,5.116278576,0.016266167759724053,False
259,VP0059,VP0059,current,EVS,31.24,-90.45,8.261150184,0.03179926512863418,False
273,VP0051,VP0051,current,EVS,30.4,-88.89,6.038716047,0.008791468046456589,False
275,VP0050,VP0050,current,EVS,26.99,-82.1,9.690847414,0.03553965605753458,False
276,VP0061,VP0061,current,EVS,27.71,-82.36,5.128277494,0.012746734219592225,False
281,VP0050,VP0050,current,EVS,27.91,-82.79,12.86040585,0.03133908140323201,False
282,VP0050,VP0050,current,EVS,32.54,-82.96,6.180768627,0.038898338232608284,False
283,VP0041,VP0041,current,EVS,29.14,-82.2,5.959186165,0.0266074725669767,False
284,VP0050,VP0050,current,EVS,33.48,-82.09,12.76966904,0.05662945127347377,False
285,VP0041,VP0041,current,EVS,29.18,-82.14,10.70615801,0.03344704470723277,False
287,VP0061,VP0061,current,EVS,27.93,-82.29,18.49913786,0.029235119837969867,False
288,VP0050,VP0050,current,EVS,27.9,-82.83,7.100833542,0.023520568292201956,False
295,VP0041,VP0041,current,EVS,29.66,-82.41,19.0512349,0.04149494015379789,False
296,VP0059,VP0059,current,EVS,32.85,-83.62,6.135339622,0.04455110327296663,False
297,VP0059,VP0059,current,EVS,32.87,-83.69,3.366103705,0.040220902423300856,False
298,VP0041,VP0041,current,EVS,30.16,-85.66,9.175054745,0.024795036354066123,False
320,VP0059,VP0059,current,EVS,30.4,-91.1,12.18970857,0.04553235081626916,False
330,VP0049,VP0049,current,EVS,33.27,-93.24,2.358717641,0.014025299710659652,False
334,VP0005,VP0005,current,EVS,45.56,-93.59,2.498513884,0.010365577848167988,False
335,VP0005,VP0005,current,EVS,45.32,-93.0,6.130233337,0.01146446453027754,False
338,VP0037,VP0037,current,EVS,36.69,-76.94,8.915825471,0.021946736718328586,False
341,VP0005,VP0005,current,EVS,47.41,-92.93,5.439487312,0.026692948098039092,False
355,VP0058,VP0058,current,EVS,29.11,-97.28,1.074513011,0.08391499490949308,False
362,VP0050,VP0050,current,EVS,27.48,-82.62,15.60228081,0.03893667078688731,False
364,VP0061,VP0061,current,EVS,28.66,-81.23,3.897774309,0.013650058522111458,False
365,VP0055,VP0055,current,EVS,33.42,-104.53,7.58949299,0.037926261521521995,False
369,VP0028,VP0028,current,EVS,30.09,-94.13,0.4998734538,0.017602975314593827,False
377,VP0059,VP0059,current,EVS,32.37,-88.7,-0.3183083644,0.005179295249751172,False
378,VP0059,VP0059,current,EVS,32.36,-88.71,-0.3183083644,0.005204969559535674,False
379,VP0062,VP0062,current,EVS,33.46,-90.65,-0.3183083644,0.036330791060403836,False
383,VP0059,VP0059,current,EVS,31.55,-90.1,1.145893713,0.018353098536184977,False
400,VP0041,VP0041,current,EVS,30.45,-86.63,11.58045211,0.03617651587485697,False
402,VP0041,VP0041,current,EVS,30.53,-86.5,2.145884169,0.022290170278017867,False
